ComunaID,ComunaNombre,ProvinciaID
1,'Arica',1
2,'Camarones',1
3,'General Lagos',2
4,'Putre',2
5,'Alto Hospicio',3
6,'Iquique',3
7,'Camiña',4
8,'Colchane',4
9,'Huara',4
10,'Pica',4
11,'Pozo Almonte',4
12,'Antofagasta',5
13,'Mejillones',5
14,'Sierra Gorda',5
15,'Taltal',5
16,'Calama',6
17,'Ollague',6
18,'San Pedro de Atacama',6
19,'María Elena',7
20,'Tocopilla',7
21,'Chañaral',8
22,'Diego de Almagro',8
23,'Caldera',9
24,'Copiapó',9
25,'Tierra Amarilla',9
26,'Alto del Carmen',10
27,'Freirina',10
28,'Huasco',10
29,'Vallenar',10
30,'Canela',11
31,'Illapel',11
32,'Los Vilos',11
33,'Salamanca',11
34,'Andacollo',12
35,'Coquimbo',12
36,'La Higuera',12
37,'La Serena',12
38,'Paihuaco',12
39,'Vicuña',12
40,'Combarbalá',13
41,'Monte Patria',13
42,'Ovalle',13
43,'Punitaqui',13
44,'Río Hurtado',13
45,'Isla de Pascua',14
46,'Calle Larga',15
47,'Los Andes',15
48,'Rinconada',15
49,'San Esteban',15
50,'La Ligua',16
51,'Papudo',16
52,'Petorca',16
53,'Zapallar',16
54,'Hijuelas',17
55,'La Calera',17
56,'La Cruz',17
57,'Limache',17
58,'Nogales',17
59,'Olmué',17
60,'Quillota',17
61,'Algarrobo',18
62,'Cartagena',18
63,'El Quisco',18
64,'El Tabo',18
65,'San Antonio',18
66,'Santo Domingo',18
67,'Catemu',19
68,'Llaillay',19
69,'Panquehue',19
70,'Putaendo',19
71,'San Felipe',19
72,'Santa María',19
73,'Casablanca',20
74,'Concón',20
75,'Juan Fernández',20
76,'Puchuncaví',20
77,'Quilpué',20
78,'Quintero',20
79,'Valparaíso',20
80,'Villa Alemana',20
81,'Viña del Mar',20
82,'Colina',21
83,'Lampa',21
84,'Tiltil',21
85,'Pirque',22
86,'Puente Alto',22
87,'San José de Maipo',22
88,'Buin',23
89,'Calera de Tango',23
90,'Paine',23
91,'San Bernardo',23
92,'Alhué',24
93,'Curacaví',24
94,'María Pinto',24
95,'Melipilla',24
96,'San Pedro',24
97,'Cerrillos',25
98,'Cerro Navia',25
99,'Conchalí',25
100,'El Bosque',25
101,'Estación Central',25
102,'Huechuraba',25
103,'Independencia',25
104,'La Cisterna',25
105,'La Granja',25
106,'La Florida',25
107,'La Pintana',25
108,'La Reina',25
109,'Las Condes',25
110,'Lo Barnechea',25
111,'Lo Espejo',25
112,'Lo Prado',25
113,'Macul',25
114,'Maipú',25
115,'Ñuñoa',25
116,'Pedro Aguirre Cerda',25
117,'Peñalolén',25
118,'Providencia',25
119,'Pudahuel',25
120,'Quilicura',25
121,'Quinta Normal',25
122,'Recoleta',25
123,'Renca',25
124,'San Miguel',25
125,'San Joaquín',25
126,'San Ramón',25
127,'Santiago',25
128,'Vitacura',25
129,'El Monte',26
130,'Isla de Maipo',26
131,'Padre Hurtado',26
132,'Peñaflor',26
133,'Talagante',26
134,'Codegua',27
135,'Coínco',27
136,'Coltauco',27
137,'Doñihue',27
138,'Graneros',27
139,'Las Cabras',27
140,'Machalí',27
141,'Malloa',27
142,'Mostazal',27
143,'Olivar',27
144,'Peumo',27
145,'Pichidegua',27
146,'Quinta de Tilcoco',27
147,'Rancagua',27
148,'Rengo',27
149,'Requínoa',27
150,'San Vicente de Tagua Tagua',27
151,'La Estrella',28
152,'Litueche',28
153,'Marchihue',28
154,'Navidad',28
155,'Peredones',28
156,'Pichilemu',28
157,'Chépica',29
158,'Chimbarongo',29
159,'Lolol',29
160,'Nancagua',29
161,'Palmilla',29
162,'Peralillo',29
163,'Placilla',29
